Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
1/11/2020, CORONEL PEIRAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 15, CANELONES, SAUCE, 1, 586080, 6165615 
1/11/2020, DOCTOR ORTELIO MENDEZ TECHERA, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, DOMINGO, 16, TREINTA Y TRES, TREINTA Y TRES, 1, 743620, 6318525 
2/11/2020, AVENIDA GIANNATTASIO CASI AVENIDA URUGUAY, DESPISTE, SIN LESIONADOS, LUNES, 2, CANELONES, SOLYMAR, 1, 594265, 6145595 
2/11/2020, VENANCIO FLORES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 6, SORIANO, MERCEDES, 1, 404580, 6319410 
2/11/2020, RAMBLA COSTANERA Y RACINE, DESPISTE, LEVE, LUNES, 9, CANELONES, PARQUE CARRASCO, 1, 591185, 6141590 
2/11/2020, GENERAL MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, TACUAREMBO, TACUAREMBO, 1, 596240, 6491575 
2/11/2020, PABLO ZUFRIATEGUI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, MALDONADO, PIRIAPOLIS, 1, 657070, 6141060 
2/11/2020, BULEVAR ARTIGAS, CAÍDA, LEVE, LUNES, 20, MALDONADO, PUNTA DEL ESTE, 1, 688260, 6132345 
3/11/2020, SIN DATOS, DESPISTE, SIN LESIONADOS, MARTES, 7, DURAZNO, SIN DATOS, 1, 550850, 6296240 
3/11/2020, J. ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 7, COLONIA, OMBUES DE LAVALLE, 1, 425010, 6244215 
3/11/2020, GENERAL JOSE G. ARTIGAS, ATROPELLO DE PEATÓN, LEVE, MARTES, 9, ROCHA, CHUY, 1, 828590, 6266150 
3/11/2020, RUTA 26 KM 44.5, DESPISTE, SIN LESIONADOS, MARTES, 13, CERRO LARGO, SIN DATOS, 1, 800060, 6404320 
3/11/2020, MAYAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 18, MALDONADO, SIN DATOS, 1, 687605, 6140025 
4/11/2020, RUTA UNO VIEJA, ATROPELLO DE ANIMALES, SIN LESIONADOS, MIÉRCOLES, 12, COLONIA, COLONIA DEL SACRAMENTO, 1, 424175, 6186425 
30/10/2020, FORT WAYNE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 13, MALDONADO, PUNTA DEL ESTE, 1, 686980, 6133360 
10/11/2020, TREINTA Y TRES ORIENTALES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 12, SALTO, SALTO, 1, 408145, 6525630 
10/11/2020, SIN DATOS, DESPISTE, SIN LESIONADOS, MARTES, 11, CANELONES, SIN DATOS, 1, 622195, 6185590 
10/11/2020, AV. GORLERO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 15, MALDONADO, PUNTA DEL ESTE, 1, 687810, 6129285 
9/11/2020, GENERAL JOSE G. ARTIGAS, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 19, SAN JOSE, SAN JOSE DE MAYO, 1, 526220, 6200325 
10/11/2020, G. LEZAETA, ATROPELLO DE PEATÓN, GRAVE, MARTES, 16, FLORIDA, FLORIDA, 1, 572975, 6227565 
10/11/2020, LUIS ALBERTO DE HERRERA, DESPISTE, SIN LESIONADOS, MARTES, 20, CANELONES, SIN DATOS, 1, 571470, 6157145 
10/11/2020, RUTA 7 KM 283.700, ATROPELLO DE ANIMALES, SIN LESIONADOS, MARTES, 23, TREINTA Y TRES, SANTA CLARA DE OLIMAR, 1, 693795, 6355960 
11/11/2020, AVENIDA PASCUAL HARRIAGUE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 8, SALTO, SALTO, 1, 409155, 6526015 
11/11/2020, WASHINGTON, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 12, PAYSANDU, PAYSANDU, 1, 398475, 6424250 
11/11/2020, INDEPENDENCIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 14, FLORIDA, FLORIDA, 1, 572150, 6226880 
11/11/2020, ANSINA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 12, CANELONES, PANDO, 1, 595110, 6156935 
11/11/2020, GRITO DE ASENCIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 14, SALTO, SALTO, 1, 408310, 6527675 
11/11/2020, MONTEVIDEO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, COLONIA, JUAN LACAZE, 1, 459685, 6190375 
11/11/2020, AV. SALTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 19, PAYSANDU, PAYSANDU, 1, 398870, 6424860 
11/11/2020, VEINTICINCO DE AGOSTO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 19, TACUAREMBO, TACUAREMBO, 1, 596570, 6490720 
10/11/2020, AVENIDA GRITO DE ASENCIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 20, SORIANO, MERCEDES, 1, 404115, 6321095 
12/11/2020, SIN DATOS, CAÍDA, LEVE, JUEVES, 8, SALTO, SALTO, 1, 413970, 6526270 
