Fecha y hora,Departamento,Localidad,Jurisdiccion ,Tipo de Siniestro,Vehiculo,Rol,Edad,Sexo,Fallecido a los Dias,Otro vehiculo,Lugar del Siniestro,X,Y
6/5/2018 22:00,ARTIGAS,ARTIGAS,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,23,M,1,AUTO,DIEGO LAMAS ESQ. GENERAL JUAN ANTONIO LAVALLEJA,5.510.894.953,66.367.138.113
8/5/2018 8:34,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,PASAJERO,21,M,0,CAMION,AVENIDA DON PEDRO DE MENDOZA ESQ. CAMINO AL PASO DEL ANDALUZ,5.766.072.799,61.484.538.018
8/5/2018 12:30,MALDONADO,MALDONADO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,CAMIONETA,CONDUCTOR,65,M,1,AUTO,AVENIDA AIGUA ESQ. APARICIO SARAVIA,68.852.605.696.417,613.538.734.468.829
9/5/2018 18:08,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,57,M,8,OMNIBUS,BOULEVARD APARICIO SARAVIA ESQ. FULTON,5.724.638.804,6.146.289.938
11/5/2018 19:21,MONTEVIDEO,MONTEVIDEO,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,35,M,0,CAMION,RUTA 8 ESQ. 102,5.850.905.159.377,614.962.718.400.638
16/05/2018 15:34,COLONIA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,24,F,0,CAMION,RUTA 2 KM 155,,
16/05/2018 16:25,TREINTA Y TRES,N/C,NACIONAL,COLISION ENTRE VEHICULOS,BICICLETA,CONDUCTOR,70,M,1,CAMION,RUTA 8 KM 292,,
17/05/2018 19:30,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,AUTO,PASAJERO,61,F,0,OMNIBUS,GALICIA ESQ. RIO NEGRO,5.736.181.148,61.376.987.245
18/05/2018 13:30,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,30,F,6,AUTO,BURDEOS ESQ. PUERTO RICO,5.677.835.986,61.401.498.239
18/05/2018 18:54,DURAZNO,DURAZNO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,76,M,1,CAMIONETA,DOCTOR MORQUIO ESQ. MARTIN ETCHEGOYEN,5.446.194.375,63.060.353.083
18/05/2018 22:33,CANELONES,N/C,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,57,M,0,AUTO,RUTA 6 KM 34,,
19/05/2018 16:10,FLORIDA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,73,M,0,CAMION,RUTA 5 KM 102,,
19/05/2018 16:10,FLORIDA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,PASAJERO,63,F,0,CAMION,RUTA 5 KM 102,,
19/05/2018 23:45,CERRO LARGO,TOLEDO,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,23,M,1,,CALLE 2 ESQ. CALLE 11,73.208.264.616.068,639.820.381.121.122
